X,Y,NOME_UF,TIPO,DATA_INI_U,DATA_INI_1,ACES,ULS,ARS,COD_POSTAL,COD_POST_1,DES_FREGUE,DES_CONCEL,WGS84_LAT_,WGS84_LONG,field_14,icon_url
-8.44436,40.202,USF Rainha Santa Isabel,USF-A,11/26/2012,11/26/2012,ACES Baixo Mondego,,ARS Centro,3040-006,Coimbra,Uni?o das freguesias de Santa Clara e Castelo Viegas,Coimbra,40.201999999999998,-8.444360000000000,COIMBRA,./0.png
-8.44436,40.202,USF Coimbra Sul,USF-A,10/20/2014,10/20/2014,ACES Baixo Mondego,,ARS Centro,3040-006,Coimbra,Uni?o das freguesias de Santa Clara e Castelo Viegas,Coimbra,40.201999999999998,-8.444360000000000,COIMBRA,./0.png
-8.4952,40.1108,USF Condeixa,USF-B,09-04-06,07-01-08,ACES Baixo Mondego,,ARS Centro,3150-195,Condeixa-a-Nova,Uni?o das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,Condeixa-a-Nova,40.110799999999998,-8.495200000000001,COIMBRA,./0.png
-8.85403,40.156,USF S?o Juli?o da Figueira,USF-A,12/30/2006,12/30/2006,ACES Baixo Mondego,,ARS Centro,3080-134,Figueira da Foz,Buarcos,Figueira da Foz,40.155999999999999,-8.854030000000000,COIMBRA,./0.png
-8.87073,40.166,USF Buarcos,USF-B,12-11-07,01-01-10,ACES Baixo Mondego,,ARS Centro,3080-254,Figueira da Foz,Buarcos,Figueira da Foz,40.165999999999997,-8.870730000000000,COIMBRA,./0.png
-8.22538,40.1382,USF Serra da Lous?,USF-B,11/19/2007,10-01-08,ACES Pinhal Interior Norte,,ARS Centro,3200-389,Lous?,Uni?o das freguesias de Lous? e Vilarinho,Lous?,40.138199999999998,-8.225379999999999,COIMBRA,./0.png
-8.65031,40.2809,USF Araceti,USF-A,6/18/2013,6/18/2013,ACES Baixo Mondego,,ARS Centro,3140-022,Arazede,Arazede,Montemor-o-Velho,40.280900000000003,-8.650309999999999,COIMBRA,./0.png
-8.62088,40.0626,USF VitaSaurium,USF-A,10/30/2006,10/30/2006,ACES Baixo Mondego,,ARS Centro,3130-200,Soure,Soure,Soure,40.062600000000003,-8.620880000000000,COIMBRA,./0.png
-8.42464,40.2503,USF Top zio,USF-A,06-03-13,06-03-13,ACES Baixo Mondego,,ARS Centro,3020-171,Coimbra,Uni?o das freguesias de Eiras e S?o Paulo de Frades,Coimbra,40.250300000000003,-8.424640000000000,COIMBRA,./0.png
-7.26424,40.5369,USF a Ribeirinha,USF-A,7/15/2009,7/15/2009,ACES Guarda,ULS Guarda,ARS Centro,6300-745,Guarda,Guarda,Guarda,40.536900000000003,-7.264240000000000,GUARDA,./0.png
-8.97875,39.4289,USF Santa Maria Benedita,USF-B,12-04-06,07-01-08,ACES Oeste Norte,,ARS Lisboa e Vale do Tejo,2475-126,Benedita,Benedita,Alcoba‡a,39.428899999999999,-8.978750000000000,LEIRIA,./0.png
-8.97242,39.5506,USF Pedro e Inˆs,USF-B,1/18/2010,07-01-13,ACES Oeste Norte,,ARS Lisboa e Vale do Tejo,2460-051,Alcoba‡a,Uni?o das freguesias de Alcoba‡a e Vestiaria,Alcoba‡a,39.550600000000003,-8.972420000000000,LEIRIA,./0.png
-9.13945,39.4115,USF Rainha D. Leonor,USF-B,7/31/2009,01-01-12,ACES Oeste Norte,,ARS Lisboa e Vale do Tejo,2500-241,Caldas da Rainha,"Uni?o das freguesias de Caldas da Rainha - Nossa Senhora do P¢pulo, Coto e S?o Greg¢rio",Caldas da Rainha,39.411499999999997,-9.139450000000000,LEIRIA,./0.png
-8.81064,39.7371,USF D. Dinis,USF-B,11/29/2007,11-01-08,ACES Pinhal Litoral,,ARS Centro,2410-191,Leiria,"Uni?o das freguesias de Leiria, Pousos, Barreira e Cortes",Leiria,39.737099999999998,-8.810639999999999,LEIRIA,./0.png
-8.80913,39.7652,USF Santiago de Leiria,USF-B,03-01-07,07-01-09,ACES Pinhal Litoral,,ARS Centro,2400-380,Leiria,Uni?o das freguesias de Marrazes e Barosa,Leiria,39.765200000000000,-8.809130000000000,LEIRIA,./0.png
-7.81444,41.0973,USF Almedina,USF-A,12-01-14,12-01-14,ACES Douro Sul,,ARS Norte,5100-143,Lamego,Lamego (Almacave e S‚),Lamego,41.097299999999997,-7.814440000000000,VISEU,./0.png
-7.81146,41.1004,USF Douro Vita,USF-A,11/28/2007,11/28/2007,ACES Douro Sul,,ARS Norte,5100-065,Lamego,Lamego (Almacave e S‚),Lamego,41.100400000000000,-7.811460000000000,VISEU,./0.png
-7.75672,40.6037,USF Terras de Azurara,USF-A,02-03-14,02-03-14,ACES D?o Laf?es,,ARS Centro,3530-113,Mangualde,"Uni?o das freguesias de Mangualde, Mesquitela e Cunha Alta",Mangualde,40.603700000000003,-7.756720000000000,VISEU,./0.png
-7.61151,40.9723,USF Aquilino Ribeiro,USF-A,06-03-13,06-03-13,ACES Douro Sul,,ARS Norte,3620-371,Moimenta da Beira,Moimenta da Beira,Moimenta da Beira,40.972299999999997,-7.611510000000000,VISEU,./0.png
-7.85492,40.5327,USF Estrela do D?o,USF-A,5/16/2011,5/16/2011,ACES D?o Laf?es,,ARS Centro,3520-059,Nelas,Nelas,Nelas,40.532699999999998,-7.854920000000000,VISEU,./0.png
-8.17304,40.7285,USF Laf?es,USF-A,12-02-08,12-02-08,ACES D?o Laf?es,,ARS Centro,3680-078,Oliveira de Frades,"Uni?o das freguesias de Oliveira de Frades, Souto de Laf?es e Sej?es",Oliveira de Frades,40.728499999999997,-8.173040000000000,VISEU,./0.png
-8.13223,40.4072,USF Rio D?o,USF-A,11-01-13,11-01-13,ACES D?o Laf?es,,ARS Centro,3440-326,Santa Comba D?o,Uni?o das freguesias de Santa Comba D?o e Couto do Mosteiro,Santa Comba D?o,40.407200000000003,-8.132230000000000,VISEU,./0.png
-7.91505,40.6591,USF Infante D. Henrique,USF-B,07-02-07,12-01-08,ACES D?o Laf?es,,ARS Centro,3514-511,Viseu,Viseu,Viseu,40.659100000000002,-7.915050000000000,VISEU,./0.png
-7.91505,40.6591,USF Lusitana,USF-B,7/28/2009,06-01-12,ACES D?o Laf?es,,ARS Centro,3514-511,Viseu,Viseu,Viseu,40.659100000000002,-7.915050000000000,VISEU,./0.png
-7.91448,40.6449,USF Gr?o Vasco,USF-B,10/23/2006,09-01-08,ACES D?o Laf?es,,ARS Centro,3500-179,Viseu,Viseu,Viseu,40.644900000000000,-7.914480000000000,VISEU,./0.png
-7.91448,40.6449,USF Viriato,USF-B,12-09-08,04-01-11,ACES D?o Laf?es,,ARS Centro,3500-179,Viseu,Viseu,Viseu,40.644900000000000,-7.914480000000000,VISEU,./0.png
-9.19423,38.7056,USF Ajuda,USF-A,3/22/2013,3/22/2013,ACES Lisboa Ocidental e Oeiras,,ARS Lisboa e Vale do Tejo,1300-250,Lisboa,Ajuda,Lisboa,38.705599999999997,-9.194229999999999,LISBOA,./0.png
-9.22059,38.6953,USF Descobertas,USF-B,10/28/2009,01-01-12,ACES Lisboa Ocidental e Oeiras,,ARS Lisboa e Vale do Tejo,1400-145,Lisboa,Bel‚m,Lisboa,38.695300000000003,-9.220590000000000,LISBOA,./0.png
-9.35602,38.799,USF Natividade,USF-A,2/14/2008,2/14/2008,ACES Sintra,,ARS Lisboa e Vale do Tejo,2725-444,Mem Martins,Algueir?o-Mem Martins,Sintra,38.798999999999999,-9.356019999999999,LISBOA,./0.png
-9.14897,38.7598,USF do Parque,USF-B,7/30/2009,01-01-12,ACES Lisboa Norte,,ARS Lisboa e Vale do Tejo,1749-080,Lisboa,Alvalade,Lisboa,38.759799999999998,-9.148970000000000,LISBOA,./0.png
-9.21755,38.7549,USF Ribeiro Sanches,USF-A,12/28/2012,12/28/2012,ACES Amadora,,ARS Lisboa e Vale do Tejo,2700-400,Amadora,Mina de ?gua,Amadora,38.754899999999999,-9.217549999999999,LISBOA,./0.png
